Name,Contract__r.Name,Product__r.StockKeepingUnit,Product__r.Family,Product__r.Product_description_in_Vietnamese__c,Product_Discription__c,Length__c,Width__c,Height__c,Quantity__c,Crates__c,m2__c,special_code,special_shape
Black Basalt U-Profile 1004010/3,01/A-X112/25,BX6.0DOC1-10040UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh trái cắt góc 45o","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm, left corner",100.0,40.0,,12,1.0,4.8,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1004010/3,01/A-X112/25,BX6.0DOC1-10040UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm, straight",100.0,40.0,,30,1.0,12.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1003010/3 (20),01/A-X112/25,BX6.0HON1-10030UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh phải cắt góc 45o.","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, right corner",100.0,30.0,,20,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1003010/3 (20),01/A-X112/25,BX6.0HON1-10030UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh trái cắt góc 45o","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, left corner",100.0,30.0,,20,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1004010/3,01/A-X112/25,BX6.0DOC1-10040UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3, cạnh phải cắt góc 45o","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm, right corner",100.0,40.0,,12,1.0,4.8,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0DOX1-10020UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt đốt, vạt mép 2mm, cạnh trái cắt góc 45o.","Black Basalt U-PROFILE
3 sides flamed, all sides chamfered 2mm, left corner",100.0,20.0,,30,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0DOX1-10020UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt đốt, vạt mép 2mm, góc phải cắt góc 45o","Black Basalt U-PROFILE
3 sides flamed, all sides chamfered 2mm, right corner",100.0,20.0,,30,1.0,6.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0DOX1-10020UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt đốt, vạt mép 2mm, thẳng","Black Basalt U-PROFILE
3 sides flamed, all sides chamfered 2mm, straight",100.0,20.0,,90,3.0,18.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0HON1-10020UR10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt honed, vạt mép 2mm, cạnh phải cắt góc 45o","Black Basalt U-PROFILE
3 sides honed, all sides chamfered 2mm, right corner",100.0,20.0,,20,1.0,4.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0HON1-10020UL10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt honed, vạt mép 2mm, cạnh trái cắt góc.","Black Basalt U-PROFILE
3 sides honed, all sides chamfered 2mm, left corner",100.0,20.0,,20,1.0,4.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1002010/3 (20),01/A-X112/25,BX6.0HON1-10020UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-3 mặt honed, vạt mép 2mm, thẳng","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, straight",100.0,20.0,,60,2.0,12.0,U,Cắt chữ U (U-profile)
Black Basalt U-Profile 1003010/3 (20),01/A-X112/25,BX6.0HON1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, straight",100.0,30.0,,60,2.0,18.0,U,Cắt chữ U (U-profile)
Black Basalt Poolcovers 60306/3,01/A-X112/25,BX6.1HON1-060030U6/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá bo hồ bơi-Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bo tròn R=3 và hone (như bản vẽ)","Black Basalt Poolcovers
Top side honed, bottom sawn, heads sawn, front edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm (as drawing)",60.0,30.0,,200,4.0,36.0,U,Cắt chữ U (U-profile)
Red Granite Cobbles 151515,01A-X27/25,GD1.1BAM3-0150150150 (T),Exterior_Tiles,"Đá granite đỏ cubic
Mặt cưa, băm, các cạnh còn lại chẻ tay tự nhiên (20% đơn hàng) (làm bằng tay)","Red Granite Cobbles 
Surface sawn and bush hammered, all side handsplit (20% of the project)",15.0,15.0,15.0,14,0.0,0.32,T,Hình trụ (cylinder)
Red Granite Cobbles 201515,01A-X27/25,GD1.1BAM3-0200150150 (T),Exterior_Tiles,"Đá granite đỏ cubic
Mặt cưa, băm, các cạnh còn lại chẻ tay tự nhiên (20% đơn hàng) (làm bằng tay)","Red Granite Cobbles 
Surface sawn and bush hammered, all side handsplit (20% of the project)",20.0,15.0,15.0,6,0.0,0.18,T,Hình trụ (cylinder)
Red Granite Cobbles 251515,01A-X27/25,GD1.1BAM3-0250150150 (T),Exterior_Tiles,"Đá granite đỏ cubic
Mặt cưa, băm, các cạnh còn lại chẻ tay tự nhiên (20% đơn hàng) (làm bằng tay)","Red Granite Cobbles 
Surface sawn and bush hammered, all side handsplit (20% of the project)",25.0,15.0,15.0,6,0.0,0.23,T,Hình trụ (cylinder)
Black Basalt Stepping 40-505-6 (40),01/A-X23.1/25 (PO 2504010),BX1.3DOX0-0400V50050,Exterior_Tiles,"BAZAN XÁM, Đá vành-Mặt đốt, xung quanh da đá tự nhiên, đáy cưa.","Basalt Step stones with Earth crust Top face flamed, natural skin, sawn bottom",45.0,45.0,5.5,80,2.0,16.2,V,Đá vành (ring/step stone)
Black Basalt Stepping 35-553 (80),02/A-X87/25,BX1.3DOX0-0550V35030,Exterior_Tiles,"BAZAN XÁM, Đá vành-Mặt đốt, xung quanh da đá tự nhiên.","Black Basalt Stepping Stone Top flamed, natural stone skin",45.0,45.0,3.0,80,1.0,16.2,V,Đá vành (ring/step stone)
Basalt Slab 71.122.95 (B),01/A-X87/25,BX9.1DOX2-071122950B,SLAB,"BAZAN XÁM, Đá tấm- Mặt đốt, cạnh ngắn (22.9cm) cắt góc 45 độ (xem hình vẽ)","Black Basalt Slab
Flamed Brushed surface, ONE 9"" edge - 45 degree miter",71.1,22.9,5.0,6,,0.98,B,Đá bộ (stone set)
Basalt Slab 55.922.95 (B),01/A-X87/25,BX9.1DOX2-055922950B,SLAB,"BAZAN XÁM, Đá tấm- Mặt và cạnh dài (55.9cm) và cạnh ngắn phía phải (22.9cm) đốt","Black Basalt Slab
Flamed Brushed surface, ONE 22"" and Right 9"" edge",55.9,22.9,5.0,3,,0.38,B,Đá bộ (stone set)
Basalt Slab 55.922.95 (C),01/A-X87/25,BX9.1DOX2-0559G22950,SLAB,"BAZAN XÁM, Đá tấm- Mặt đôt, cạnh ngắn  cắt 1 góc 45 độ (xem hình vẽ)","Black Basalt Slab
Flamed Brushed surface, ONE 9"" edge - 45 degree miter",55.9,22.9,5.0,5,,0.64,G,Cắt góc độ (angle cut)
Black Basalt Stepping 20-3040-504-6 (56),03-X09/24,BX1.3CTA0-0500V30060,Exterior_Tiles,"BAZAN XÁM, Đá vành-Tất cả các cạnh tự nhiên, không có vết nêm.",Black Basalt Stepping Stone All side natural split,45.0,25.0,5.0,112,2.0,12.6,V,Đá vành (ring/step stone)
Black Basalt Stepping 55-753 (33),01/U-X669/24,BX1.0CUA0-0550V75030,Exterior_Tiles,"BAZAN XÁM, Đá vành-Cưa 2 mặt, da đá tự nhiên","Black Basalt Stepping stone
Sawn both sides, edges natural skin",65.0,65.0,3.0,990,30.0,418.28,V,Đá vành (ring/step stone)
Black Basalt RISER STAIR LENGTH 1403520 (4),0422/X112,BX4.2HON1-1400L35200,STAIR,"BAZAN XÁM, Đá ốp bậc thang chữ L 1400MM-Mặt trên & cạnh dài hone. Cạnh dài vạt 10mm và hone, các cạnh cưa.","Black basalt STAIR LENGTH - 1400MM 3-sides honed, chamfered 10mm (as drawing), other sides sawn",140.0,35.0,20.0,8,2.0,3.92,L,Cắt chữ L (L-shape)
Black Basalt RISER STAIR LENGTH 150306/3 (15),0422/X112,BX4.2DOX5-1500L306/3,STAIR,"BAZAN XÁM, Đá ốp bậc thang chữ L-Mặt trên & cạnh dài L Đốt chải. Cạnh dài bo R2, các cạnh còn lại vạt chống mẻ","Black basalt FLAMED - STAIR LENGTH 2 sides Flamed, chamfered 10mm (as drawing), other sides sawn",150.0,30.0,6.0,15,1.0,6.75,L,Cắt chữ L (L-shape)
Black Basalt WATERDROP 705010/3 (6),0422/X112,BX6.0HON0-070050U10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá máng nước chữ U-Tất cả các cạnh hon, góc phải cắt rãnh 5x5mm và vạt xéo 45o","Black basalt WATERDROP All sides Honed, right corner recess / cutout +/- 5x5mm and cutting 45o",70.0,50.0,10.0,3,,1.05,U,Cắt chữ U (U-profile)
Black Basalt U-Profile Top 100316/2 (20),0422/X112,BX6.0HON1-100031U6/2,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt trên & 2 cạnh dài hon, các cạnh còn lại cưa & vạt mép chống mẻ 2-3mm.","Black Basalt U-PROFILE TOP 3-sides Honed, other sides sawn",100.0,31.0,6.0,65,,20.15,U,Cắt chữ U (U-profile)
Bluestone Roman Pattern 60402,01/A-X37/22,MB7.1GCR0-0600400B020,Interior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Bluestone Roman Pattern 2.0cm Vietnostyle,60.0,40.0,2.0,352,16.0,84.48,B,Đá bộ (stone set)
Crystal White Marble Roman Pattern 40402,01/A-X37/22,MT7.1GCR0-0400400B020,Interior_Tiles,"Đá BLUESTONE Vinh, Đá bộ-Giả cổ rung 2 cm",Crystal White Marble Roman Pattern 2.0 cm Vietnostyle,40.0,40.0,2.0,704,16.0,112.64,B,Đá bộ (stone set)
Crystal White Marble Roman Pattern 19.539.72,01/A-X37/22,MT7.1GCR0-0195397B020,Interior_Tiles,"Đá BLUESTONE Vinh, Đá bộ-Giả cổ rung 2cm",Crystal White Marble Roman Pattern 2cm Vietnostyle,19.5,39.7,2.0,352,16.0,27.25,B,Đá bộ (stone set)
Crystal White Marble Roman Pattern 19.519.52,01/A-X37/22,MT7.1GCR0-0195195B020,Interior_Tiles,"Đá BLUESTONE Vinh, Đá bộ-Giả cổ rung 2cm",Crystal White Marble Roman Pattern 2cm Vietnostyle,19.5,19.5,2.0,704,16.0,26.77,B,Đá bộ (stone set)
Bluestone Roman Pattern 60402,01/A-X37/20,MB7.1GCR0-0600400B020,Interior_Tiles,"BLUESTONE, Đá lát-Giả cổ rung",Bluestone Roman Pattern 2.0cm Vietnostyle,60.0,40.0,2.0,352,16.0,84.48,B,Đá bộ (stone set)
Crystal White Marble Roman Pattern 40402,01/A-X37/20,MT7.1GCR0-0400400B020,Interior_Tiles,"Đá BLUESTONE Vinh, Đá bộ-Giả cổ rung 2 cm",Crystal White Marble Roman Pattern 2.0 cm Vietnostyle,40.0,40.0,2.0,704,16.0,112.64,B,Đá bộ (stone set)
Crystal White Marble Roman Pattern 19.539.72,01/A-X37/20,MT7.1GCR0-0195397B020,Interior_Tiles,"Đá BLUESTONE Vinh, Đá bộ-Giả cổ rung 2cm",Crystal White Marble Roman Pattern 2cm Vietnostyle,19.5,39.7,2.0,352,16.0,27.25,B,Đá bộ (stone set)
Crystal White Marble Roman Pattern 19.519.52,01/A-X37/20,MT7.1GCR0-0195195B020,Interior_Tiles,"Đá BLUESTONE Vinh, Đá bộ-Giả cổ rung 2cm",Crystal White Marble Roman Pattern 2cm Vietnostyle,19.5,19.5,2.0,704,16.0,26.77,B,Đá bộ (stone set)
Black Basalt Left corner 100/703010/3,0121/X112,BX6.0DOC1-10030LC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh trái cắt 100/70, đáy cắt 10/3","Black basalt Left corner
Top + front + back side flamed, other sawn cut, left corner cutting 45o like the picture",100.0,30.0,10.0,40,4.0,12.0,L,Cắt chữ L (L-shape)
Black Basalt Right corner 100/703010/3,0121/X112,BX6.1DOX1-10030RC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh phải cắt 100/70, đáy cắt 10/3","Black basalt Right corner
Top + front + back side flamed, other sawn cut, right corner cutting 45o like the picture.",100.0,30.0,10.0,40,4.0,12.0,C,Cắt vòng cung (arc / rounded)
Black Basalt U-Profile 1003010/3 (20),0121/X112,BX6.0DOC1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm",100.0,30.0,10.0,300,15.0,90.0,U,Cắt chữ U (U-profile)
Black Basalt Left corner 100/703010/3,0522/X112,BX6.0DOC1-10030LC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh trái cắt 100/70, đáy cắt 10/3","Black basalt Left corner
Top + front + back side flamed, other sawn cut, left corner cutting 45o like the picture",100.0,30.0,10.0,60,3.0,18.0,L,Cắt chữ L (L-shape)
Black Basalt Right corner 100/703010/3,0522/X112,BX6.1DOX1-10030RC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh phải cắt 100/70, đáy cắt 10/3","Black basalt Right corner
Top + front + back side flamed, other sawn cut, right corner cutting 45o like the picture.",100.0,30.0,10.0,60,3.0,18.0,C,Cắt vòng cung (arc / rounded)
Black Basalt U-Profile 1003010/3 (20),0522/X112,BX6.0DOC1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
Surface flamed brush, all sides chamfered 2mm",100.0,30.0,10.0,360,18.0,108.0,U,Cắt chữ U (U-profile)
Black Basalt Poolcovers 60306/3,0222/X112,BX6.1DOX1-060030U6/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá bo hồ bơi-Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bo tròn R=3 và hone (như LSX 010322)","Black basalt Poolcovers
Top side flamed, bottom sawn, heads sawn, front edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm.",60.0,30.0,6.0,104,2.0,18.72,U,Cắt chữ U (U-profile)
Black Basalt Poolcovers 60306/3,0222/X112,BX6.1DOX1-060030T6/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Đá bo hồ bơi-Mặt đốt, cạnh cưa, vạt mép 2mm, đáy cắt 6/3 cạnh bo tròn R=3 và hone, cạnh trái cắt góc 45o (như bản vẽ 2 đính kèm)","Black basalt Poolcovers
Top side flamed, bottom sawn, heads sawn, front edge 6cm honed and up and down chamfered - back edges (3cm) also honed and up and down chamfered 2mm, left corner cutting 45o (as drawing no.2)",60.0,30.0,6.0,26,,4.68,T,Hình trụ (cylinder)
Black Basalt Right corner 100/703010/3,0122/X112,BX6.1DOX1-10030RC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh phải cắt 100/70, đáy cắt 10/3","Black basalt Right corner
Top + front + back side flamed, other sawn cut, right corner cutting 45o like the picture.",100.0,30.0,10.0,24,1.0,7.2,C,Cắt vòng cung (arc / rounded)
Black Basalt U-Profile 1003010/3 (20),0122/X112,BX6.0HON1-10030UT10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt honed, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, đáy cắt 10/3","Black Basalt U-PROFILE
3 sides honed, all side chamfered 2mm, straight",100.0,30.0,10.0,80,4.0,24.0,U,Cắt chữ U (U-profile)
Black Basalt Left corner 100/703010/3,0122/X112,BX6.0DOC1-10030LC10/3,"Pool surrounding,Window sill, covering","BAZAN XÁM, Chữ U-Mặt và 2 cạnh dài đốt chải, các cạnh còn lại cưa, tất cả các cạnh vạt mép 2mm, cạnh trái cắt 100/70, đáy cắt 10/3","Black basalt Left corner
Top + front + back side flamed, other sawn cut, left corner cutting 45o like the picture",100.0,30.0,10.0,24,1.0,7.2,L,Cắt chữ L (L-shape)
